first,second,result,moves
9,16,2,34
11,16,2,32
13,16,0,36
15,16,1,33
3,16,2,30
12,16,2,30
14,16,2,30
6,16,2,30
10,16,2,34
8,16,2,30
16,1,1,11
16,4,0,36
16,5,1,33
16,3,1,35
16,2,1,33
16,11,1,35
16,7,2,34
16,13,0,36
16,15,0,36
16,10,1,33
16,6,1,25
16,9,1,33
16,8,1,29
16,14,2,34
16,12,2,34
16,16,2,34
8,17,2,30
6,17,2,32
1,17,2,30
4,17,2,34
7,17,2,30
12,17,2,32
14,17,0,36
10,17,2,34
3,17,2,26
16,17,0,36
2,17,1,35
9,17,1,31
11,17,1,31
15,17,0,36
13,17,0,36
5,17,2,32
17,1,1,11
17,2,1,33
17,3,1,35
17,4,0,36
17,7,1,31
17,5,2,36
17,11,1,33
17,13,1,31
17,10,1,29
17,9,2,30
17,17,1,31
17,6,1,31
17,15,1,33
17,8,1,33
17,12,2,30
17,16,2,30
17,14,2,30
1,18,2,30
4,18,2,30
7,18,2,30
2,18,2,32
3,18,2,30
12,18,2,26
5,18,2,32
14,18,2,32
8,18,1,35
17,18,2,30
16,18,2,34
6,18,2,30
10,18,1,33
9,18,1,31
11,18,1,33
13,18,0,36
15,18,0,36
18,1,1,11
18,4,0,36
18,3,1,35
18,11,1,35
18,7,0,36
18,2,1,33
18,13,0,36
18,15,0,36
18,5,1,33
18,17,0,36
18,10,1,29
18,6,1,23
18,9,1,33
18,8,1,29
18,14,1,33
18,12,2,34
18,16,2,34
18,18,0,36
3,19,2,32
6,19,2,32
8,19,2,30
7,19,2,30
12,19,2,32
10,19,2,34
14,19,0,36
5,19,2,32
16,19,0,36
2,19,2,34
18,19,0,36
4,19,2,34
1,19,2,30
17,19,1,33
9,19,1,31
11,19,1,33
13,19,0,36
15,19,0,36
19,4,0,36
19,1,1,11
19,3,1,33
19,11,1,33
19,5,1,29
19,6,1,31
19,2,1,33
19,13,1,31
19,7,1,31
19,17,1,31
19,15,1,33
19,10,1,29
19,19,1,33
19,9,1,35
19,14,2,34
19,12,2,34
19,16,2,34
1,20,2,26
19,8,1,33
8,20,2,26
19,18,1,31
4,20,2,26
2,20,2,26
3,20,2,32
5,20,2,34
6,20,2,26
12,20,2,32
14,20,2,32
16,20,2,32
7,20,1,35
17,20,2,30
18,20,2,32
9,20,0,36
19,20,2,32
11,20,2,32
10,20,2,34
15,20,0,36
13,20,0,36
20,1,1,11
20,4,0,36
20,5,1,33
20,11,1,35
20,3,1,35
20,13,1,33
20,2,1,33
20,15,1,33
20,7,0,36
20,17,1,33
20,9,1,33
20,19,1,33
20,6,1,27
20,10,1,29
20,20,0,36
20,12,2,34
20,14,2,34
20,16,2,34
20,18,2,34
20,8,1,33
6,21,2,34
4,21,2,30
7,21,2,30
2,21,2,30
12,21,2,34
3,21,2,32
5,21,2,32
14,21,2,34
16,21,2,34
17,21,1,35
18,21,2,34
19,21,1,35
20,21,2,34
10,21,2,34
11,21,1,31
9,21,1,31
1,21,2,30
8,21,2,30
13,21,0,36
15,21,0,36
21,2,1,33
21,3,1,33
21,5,1,33
21,11,1,33
21,1,1,11
21,4,1,27
21,13,1,31
21,7,1,31
21,15,1,33
21,17,1,31
21,6,1,27
21,10,1,29
21,19,1,33
21,21,1,33
21,9,1,33
21,12,1,33
21,14,1,33
21,16,1,35
21,20,0,36
21,18,1,35
2,22,2,26
8,22,2,26
4,22,2,26
1,22,2,26
21,8,1,33
7,22,2,30
6,22,2,26
3,22,2,30
14,22,2,32
16,22,2,32
12,22,2,32
17,22,2,30
18,22,2,32
19,22,2,32
20,22,2,32
21,22,2,32
13,22,2,34
15,22,2,34
5,22,2,30
9,22,2,30
10,22,0,36
11,22,2,34
22,4,0,36
22,1,1,11
22,3,1,35
22,11,1,35
22,5,1,33
22,13,1,33
22,2,1,33
22,15,1,33
22,7,0,36
22,17,1,33
22,10,1,29
22,19,1,33
22,6,1,27
22,21,2,34
22,9,1,33
22,22,2,32
22,20,0,36
22,16,2,34
22,12,2,34
22,14,2,34
22,18,2,34
6,23,2,34
8,23,2,30
2,23,2,30
4,23,2,30
7,23,2,30
12,23,2,34
3,23,2,32
14,23,2,34
10,23,2,34
16,23,2,34
22,8,1,33
18,23,2,34
17,23,1,35
19,23,1,35
1,23,2,30
20,23,2,34
5,23,1,33
22,23,2,34
21,23,1,33
9,23,2,34
13,23,2,34
11,23,0,36
15,23,2,34
23,4,0,36
23,1,1,11
23,2,1,33
23,11,1,33
23,3,1,33
23,5,1,33
23,7,1,31
23,13,1,31
23,15,1,33
23,17,1,31
23,10,1,29
23,19,1,33
23,9,1,33
23,21,1,33
23,22,2,32
23,23,1,33
23,20,0,36
23,6,1,27
23,14,1,35
23,12,1,35
23,16,1,35
23,18,1,35
2,24,2,26
8,24,2,26
1,24,2,26
4,24,2,26
6,24,2,26
3,24,2,32
12,24,2,32
14,24,2,32
7,24,2,30
16,24,2,32
17,24,2,30
18,24,2,32
19,24,2,32
20,24,2,32
21,24,2,32
22,24,2,32
23,24,2,32
23,8,1,33
13,24,2,34
15,24,2,34
5,24,2,30
11,24,2,34
10,24,2,32
9,24,2,30
24,1,1,11
24,2,1,33
24,4,0,36
24,5,1,33
24,3,1,33
24,11,1,33
24,13,1,31
24,7,1,31
24,15,1,33
24,17,1,31
24,9,1,33
24,19,1,33
24,20,0,36
24,21,1,33
24,6,1,27
24,23,1,33
24,10,1,29
24,22,2,32
24,24,2,32
24,14,1,33
24,12,1,33
24,16,1,35
24,18,1,35
2,25,2,26
8,25,2,26
1,25,2,26
4,25,2,26
7,25,2,30
6,25,2,26
10,25,2,30
13,25,2,34
12,25,2,32
16,25,2,32
15,25,2,34
18,25,2,32
17,25,2,30
20,25,2,32
21,25,2,32
22,25,2,32
3,25,2,32
23,25,2,32
24,25,2,32
19,25,2,32
14,25,2,32
5,25,2,30
11,25,2,34
9,25,2,30
24,8,1,33
25,1,1,11
25,3,1,33
25,2,1,33
25,11,1,33
25,7,1,31
25,13,1,31
25,4,0,36
25,5,1,33
25,15,1,33
25,17,1,31
25,6,1,27
25,19,1,33
25,10,1,29
25,21,1,33
25,9,1,33
25,23,1,33
25,24,2,32
25,25,2,32
25,20,0,36
25,22,2,32
25,16,1,35
25,12,1,35
25,14,1,35
25,18,1,35
2,26,2,26
8,26,2,26
4,26,2,26
1,26,2,26
6,26,2,26
3,26,2,32
25,8,1,33
12,26,2,32
9,26,2,34
16,26,2,32
14,26,2,32
18,26,2,32
19,26,2,32
20,26,2,32
21,26,2,32
22,26,2,32
23,26,2,32
24,26,2,32
25,26,2,32
5,26,2,24
17,26,2,30
11,26,2,34
13,26,2,30
7,26,2,34
15,26,2,34
10,26,2,34
26,1,1,9
26,2,1,15
26,4,0,36
26,6,1,27
26,9,1,31
26,3,1,35
26,10,1,33
26,12,1,33
26,13,1,33
26,15,1,31
26,17,1,31
26,7,1,33
26,18,1,31
26,11,1,33
26,19,1,31
26,21,1,31
26,5,1,33
26,23,1,33
26,25,0,36
26,22,0,36
26,24,0,36
26,8,1,33
26,14,1,33
26,16,1,33
26,20,1,33
26,26,0,36
1,27,2,26
8,27,2,26
3,27,2,32
4,27,2,26
2,27,2,26
6,27,2,26
5,27,2,24
7,27,2,34
11,27,2,34
12,27,2,32
18,27,2,32
19,27,2,32
20,27,2,32
21,27,2,32
22,27,2,32
17,27,2,30
24,27,2,32
23,27,2,32
25,27,2,32
16,27,2,32
14,27,2,32
9,27,2,34
15,27,2,34
13,27,2,34
10,27,2,34
26,27,0,36
27,4,0,36
27,1,1,9
27,6,1,27
27,9,1,31
27,2,1,15
27,10,1,33
27,12,1,33
27,15,1,31
27,11,1,33
27,17,1,31
27,18,1,31
27,19,1,31
27,3,1,35
27,21,1,31
27,22,0,36
27,7,1,33
27,24,0,36
27,25,0,36
27,5,1,33
27,13,1,33
27,23,1,33
27,8,1,33
27,20,1,35
27,14,1,35
27,27,1,35
27,26,1,35
27,16,1,33
2,28,2,26
9,28,2,26
10,28,2,26
11,28,2,26
12,28,2,26
13,28,2,26
14,28,2,26
1,28,2,26
15,28,2,26
17,28,2,26
16,28,2,26
18,28,2,26
19,28,2,26
3,28,2,30
5,28,2,26
6,28,2,26
4,28,2,26
8,28,2,26
20,28,2,34
21,28,2,34
22,28,2,34
7,28,2,34
27,28,2,36
25,28,2,36
26,28,2,36
23,28,2,34
24,28,2,36
28,1,1,9
28,6,1,27
28,4,0,36
28,11,1,33
28,9,1,31
28,3,1,33
28,13,1,31
28,15,1,33
28,12,1,31
28,17,1,31
28,2,1,31
28,19,1,33
28,10,1,31
28,21,1,33
28,18,1,33
28,23,1,33
28,22,1,35
28,5,1,31
28,25,0,36
28,7,1,31
28,24,0,36
28,28,2,36
28,14,1,35
28,16,1,33
28,27,1,35
28,26,1,35
28,20,1,35
28,8,1,33
3,29,2,30
1,29,2,26
10,29,2,26
11,29,2,26
12,29,2,26
13,29,2,26
14,29,2,26
15,29,2,26
16,29,2,26
17,29,2,26
18,29,2,26
19,29,2,26
4,29,2,26
9,29,2,26
6,29,2,26
5,29,2,26
2,29,2,26
8,29,2,26
20,29,2,34
21,29,2,34
28,29,2,36
23,29,2,34
22,29,2,34
24,29,2,36
27,29,2,36
26,29,2,36
25,29,2,36
7,29,2,34
29,1,1,7
29,4,1,29
29,6,1,23
29,2,1,23
29,8,1,29
29,3,1,35
29,5,1,33
29,14,1,31
29,15,1,31
29,17,1,31
29,13,1,33
29,19,1,31
29,10,1,29
29,21,1,31
29,7,1,33
29,20,1,31
29,24,0,36
29,25,0,36
29,23,1,33
29,11,1,33
29,26,0,36
29,9,1,31
29,27,0,36
29,12,1,35
29,16,1,33
29,18,1,31
29,29,1,35
29,28,1,35
29,22,1,35
4,30,2,28
2,30,2,32
10,30,2,32
1,30,2,34
3,30,2,32
12,30,2,32
14,30,2,32
8,30,2,32
16,30,2,32
13,30,2,32
15,30,2,32
5,30,2,30
18,30,2,34
19,30,2,34
20,30,2,34
22,30,2,34
23,30,2,34
7,30,2,32
24,30,2,34
25,30,2,34
17,30,2,34
28,30,2,36
27,30,2,36
26,30,2,36
6,30,2,28
9,30,2,30
11,30,2,30
21,30,2,30
29,30,2,36
30,1,1,7
30,2,1,23
30,5,1,31
30,11,1,33
30,3,1,33
30,13,1,31
30,14,1,31
30,15,1,33
30,10,1,29
30,17,1,31
30,4,0,36
30,19,1,33
30,9,1,31
30,21,1,33
30,8,1,29
30,23,1,33
30,24,0,36
30,25,0,36
30,20,1,33
30,6,1,23
30,27,0,36
30,26,0,36
30,30,2,36
30,7,1,31
30,18,1,31
30,28,1,35
30,12,1,35
30,16,1,33
30,22,1,35
30,29,1,35
2,31,2,32
4,31,2,28
10,31,2,32
1,31,2,34
12,31,2,32
13,31,2,32
14,31,2,32
15,31,2,32
16,31,2,32
17,31,2,34
18,31,2,34
19,31,2,34
20,31,2,34
3,31,2,32
22,31,2,34
23,31,2,34
24,31,2,34
25,31,2,34
26,31,2,36
27,31,2,36
28,31,2,36
7,31,2,32
30,31,2,36
8,31,2,32
5,31,2,30
6,31,2,28
21,31,2,30
11,31,2,30
9,31,2,30
29,31,2,36
31,1,1,7
31,2,1,23
31,10,1,29
31,11,1,33
31,3,1,33
31,13,1,31
31,14,1,31
31,15,1,33
31,9,1,31
31,17,1,31
31,12,1,35
31,19,1,33
31,20,1,33
31,21,1,33
31,22,1,35
31,23,1,33
31,24,0,36
31,25,0,36
31,26,0,36
31,27,0,36
31,28,1,35
31,29,1,35
31,4,0,36
31,31,2,36
31,16,1,33
31,6,1,23
31,7,1,31
31,18,1,31
31,5,1,31
31,30,2,36
31,8,1,29
3,32,2,32
7,32,2,32
10,32,2,32
4,32,2,28
12,32,2,32
13,32,2,32
14,32,2,32
15,32,2,32
16,32,2,32
17,32,2,34
18,32,2,34
19,32,2,34
20,32,2,34
1,32,2,34
22,32,2,34
23,32,2,34
24,32,2,34
25,32,2,34
26,32,2,36
27,32,2,36
28,32,2,36
2,32,2,32
30,32,2,36
31,32,2,36
5,32,2,30
8,32,2,32
6,32,2,28
9,32,2,30
21,32,2,30
29,32,2,36
11,32,2,30
32,4,0,36
32,1,1,7
32,2,1,23
32,11,1,33
32,3,1,33
32,13,1,31
32,14,1,31
32,15,1,33
32,10,1,29
32,17,1,31
32,18,1,31
32,19,1,33
32,20,1,33
32,21,1,33
32,22,1,35
32,23,1,33
32,24,0,36
32,25,0,36
32,26,0,36
32,27,0,36
32,28,1,35
32,29,1,35
32,30,2,36
32,31,2,36
32,32,2,36
32,16,1,33
32,12,1,35
32,6,1,23
32,7,1,31
32,5,1,31
32,8,1,29
32,9,1,31
1,33,2,34
2,33,2,32
10,33,2,32
3,33,2,32
12,33,2,32
13,33,2,32
14,33,2,32
15,33,2,32
16,33,2,32
17,33,2,34
18,33,2,34
19,33,2,34
20,33,2,34
4,33,2,28
22,33,2,34
23,33,2,34
24,33,2,34
25,33,2,34
26,33,2,36
27,33,2,36
28,33,2,36
7,33,2,32
30,33,2,36
31,33,2,36
32,33,2,36
5,33,2,30
6,33,2,28
11,33,2,30
9,33,2,30
21,33,2,30
29,33,2,36
8,33,2,32
33,4,0,36
33,1,1,7
33,10,1,29
33,11,1,33
33,12,1,35
33,13,1,31
33,14,1,31
33,15,1,33
33,16,1,33
33,17,1,31
33,18,1,31
33,19,1,33
33,20,1,33
33,21,1,33
33,22,1,35
33,23,1,33
33,24,0,36
33,25,0,36
33,26,0,36
33,27,0,36
33,28,1,35
33,29,1,35
33,30,2,36
33,31,2,36
33,32,2,36
33,33,2,36
33,2,1,23
33,3,1,33
33,6,1,23
33,5,1,31
33,7,1,31
33,8,1,29
33,9,1,31
1,34,2,34
9,34,2,30
10,34,2,32
11,34,2,30
12,34,2,32
13,34,2,32
14,34,2,32
15,34,2,32
16,34,2,32
17,34,2,34
18,34,2,34
19,34,2,34
20,34,2,34
21,34,2,30
22,34,2,34
23,34,2,34
24,34,2,34
25,34,2,34
26,34,2,36
27,34,2,36
28,34,2,36
29,34,2,36
30,34,2,36
31,34,2,36
32,34,2,36
33,34,2,36
2,34,2,32
3,34,2,32
4,34,2,28
5,34,2,30
6,34,2,28
7,34,2,32
8,34,2,32
34,4,0,36
34,5,1,31
34,10,1,29
34,11,1,33
34,12,1,35
34,13,1,31
34,14,1,31
34,15,1,33
34,16,1,33
34,17,1,31
34,18,1,31
34,19,1,33
34,20,1,33
34,21,1,33
34,22,1,35
34,23,1,33
34,24,0,36
34,25,0,36
34,26,0,36
34,27,0,36
34,28,1,35
34,29,1,35
34,30,2,36
34,31,2,36
34,32,2,36
34,33,2,36
34,34,2,36
34,1,1,7
34,2,1,23
34,3,1,33
34,9,1,31
34,8,1,29
34,6,1,23
34,7,1,31
1,35,2,34
9,35,2,30
10,35,2,32
11,35,2,30
12,35,2,32
13,35,2,32
14,35,2,32
15,35,2,32
16,35,2,32
17,35,2,34
18,35,2,34
19,35,2,34
20,35,2,34
21,35,2,30
22,35,2,34
23,35,2,34
24,35,2,34
25,35,2,34
26,35,2,36
27,35,2,36
28,35,2,36
29,35,2,36
30,35,2,36
31,35,2,36
32,35,2,36
33,35,2,36
34,35,2,36
5,35,2,30
3,35,2,32
2,35,2,32
4,35,2,28
6,35,2,28
7,35,2,32
8,35,2,32
35,1,1,7
35,9,1,31
35,10,1,29
35,11,1,33
35,12,1,35
35,13,1,31
35,14,1,31
35,15,1,33
35,16,1,33
35,17,1,31
35,18,1,31
35,19,1,33
35,20,1,33
35,21,1,33
35,22,1,35
35,23,1,33
35,24,0,36
35,25,0,36
35,26,0,36
35,27,0,36
35,28,1,35
35,29,1,35
35,30,2,36
35,31,2,36
35,32,2,36
35,33,2,36
35,34,2,36
35,35,2,36
1,36,2,34
2,36,2,32
3,36,2,32
4,36,2,28
5,36,2,30
6,36,2,28
7,36,2,32
8,36,2,32
35,2,1,23
10,36,2,32
11,36,2,30
9,36,2,30
12,36,2,32
13,36,2,32
14,36,2,32
15,36,2,32
16,36,2,32
17,36,2,34
18,36,2,34
19,36,2,34
20,36,2,34
22,36,2,34
21,36,2,30
23,36,2,34
24,36,2,34
26,36,2,36
25,36,2,34
27,36,2,36
28,36,2,36
29,36,2,36
30,36,2,36
32,36,2,36
33,36,2,36
34,36,2,36
35,36,2,36
31,36,2,36
35,5,1,31
35,3,1,33
35,4,0,36
35,6,1,23
35,7,1,31
35,8,1,29
36,1,1,7
36,9,1,31
36,10,1,29
36,11,1,33
36,12,1,35
36,13,1,31
36,14,1,31
36,2,1,23
36,15,1,33
36,16,1,33
36,17,1,31
36,19,1,33
36,20,1,33
36,21,1,33
36,22,1,35
36,18,1,31
36,23,1,33
36,24,0,36
36,25,0,36
36,27,0,36
36,26,0,36
36,28,1,35
36,29,1,35
36,30,2,36
36,31,2,36
36,32,2,36
36,34,2,36
36,33,2,36
36,3,1,33
36,35,2,36
36,36,2,36
36,4,0,36
36,5,1,31
36,6,1,23
36,7,1,31
36,8,1,29
